area_id,area_name_en
465.0,Wadi Al Safa 3
466.0,Wadi Al Safa 4
467.0,Wadi Al Safa 5
468.0,Yaraah
469.0,Al Yufrah 1
470.0,Al Faga'A
471.0,Al Rowaiyah Third
473.0,AL Athbah
476.0,Jabal Ali Third
477.0,Mena Jabal Ali
478.0,Jabal Ali Industrial Second
479.0,Jabal Ali Industrial Third
480.0,Saih Shuaib 1
481.0,Hessyan Second
482.0,Hadaeq Sheikh Mohammed Bin Rashid
483.0,Warsan Fourth
484.0,Nadd Hessa
485.0,Me'Aisem First
486.0,Me'Aisem Second
489.0,Lehbab First
492.0,Al Rowaiyah First
493.0,Al Rowaiyah Second
494.0,Umm Addamin
496.0,Le Hemaira
497.0,Lehbab Second
499.0,Al Maha
500.0,Um Esalay
501.0,Remah
502.0,Madinat Hind 1
503.0,Madinat Hind 2
504.0,Madinat Hind 3
505.0,Madinat Hind 4
506.0,Al Yelayiss 1
507.0,Al Yelayiss 2
508.0,Al Yelayiss 3
509.0,Al Yelayiss 4
510.0,Al Yelayiss 5
513.0,Madinat Latifa
514.0,Ghadeer Barashy
515.0,Saih Aldahal
518.0,Mugatrah
519.0,Al Layan1
522.0,Hessyan First
523.0,Al Hebiah Third
524.0,Muragab
525.0,Hatta
526.0,Business Bay
527.0,Island 2
528.0,Al Yufrah 3
529.0,Al Yufrah 4
531.0,Al Hebiah Sixth
